--------------------------------------------------
Date: 2025.04.01 08:31:48

--- Large Blocks
00007feb4d5c1000 .. 00007feb4d7c103f   size 0000000000200040 : xalloc.c 1616 
00007feb4de21388 .. 00007feb4de26b8f   size 0000000000005808 : partial slab 00007feb4de213a0 (88/144 bytes)
00007feb4de26b90 .. 00007feb4de29f6f   size 00000000000033e0 : partial slab 00007feb4de26ba8 (48/104 bytes)
00007feb4de29f70 .. 00007feb4de2d617   size 00000000000036a8 : full slab 00007feb4de29f88 (40/96 bytes)
00007feb4de2d618 .. 00007feb4de31b5f   size 0000000000004548 : partial slab 00007feb4de2d630 (72/128 bytes)
00007feb4de31b60 .. 00007feb4de33f17   size 00000000000023b8 : free slab 00007feb4de31b78 (16/72 bytes)
00007feb4de33f18 .. 00007feb4de3e51f   size 000000000000a608 : comm.c 3631 
00007feb4de3f5a0 .. 00007feb4de3f737   size 0000000000000198 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4de3f738 .. 00007feb4de3f83f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de3f970 .. 00007feb4de3fbcf   size 0000000000000260 : prolang.y 14059 : ? (destructed) , secure/login.c 682
00007feb4de40c50 .. 00007feb4de41057   size 0000000000000408 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4de41058 .. 00007feb4de4115f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4de41160 .. 00007feb4de41277   size 0000000000000118 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4de41278 .. 00007feb4de4137f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de41380 .. 00007feb4de414ff   size 0000000000000180 : object.c 392 : ? (destructed) , secure/login.c 682
00007feb4de41500 .. 00007feb4de4164f   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 41
00007feb4de41650 .. 00007feb4de4179f   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007feb4de417a0 .. 00007feb4de418ef   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007feb4de418f0 .. 00007feb4de41a3f   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007feb4de41a40 .. 00007feb4de41b2f   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/player_sec , std/container.c 88
00007feb4de41b30 .. 00007feb4de41d17   size 00000000000001e8 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4de41d18 .. 00007feb4de41e1f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de41e20 .. 00007feb4de41f27   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de41f28 .. 00007feb4de42017   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/living , std/container.c 88
00007feb4de42018 .. 00007feb4de42117   size 0000000000000100 : array.c::allocate_array 1885 : d/Standard/race/human_std#1 , std/living.c (/std/living/stats.c) 25
